Analysis,Index,Sides,AccrualTime,FollowUpTime,Alpha,RefSurvival,SurvCurve1Form,SurvCurve2Form,HazardRatio,Weight1,Weight2,NTotal,NSubInterval,LossExpHazard1,LossExpHazard2,Power,Error,Info,hazard_rate
TwoSampleSurvival,1,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.762,,,4
TwoSampleSurvival,2,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.744,,,4
TwoSampleSurvival,3,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.725,,,4
TwoSampleSurvival,4,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.706,,,4
TwoSampleSurvival,5,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.686,,,4
TwoSampleSurvival,6,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.666,,,4
TwoSampleSurvival,7,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.645,,,4
TwoSampleSurvival,8,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,9900,12,0,0,0.624,,,4
TwoSampleSurvival,9,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,9900,12,0,0,0.602,,,4
TwoSampleSurvival,10,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,9900,12,0,0,0.581,,,4
TwoSampleSurvival,11,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,9900,12,0,0,0.559,,,4
TwoSampleSurvival,12,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,9900,12,0,0,0.794,,,4
TwoSampleSurvival,13,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,9900,12,0,0,0.777,,,4
TwoSampleSurvival,14,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,9900,12,0,0,0.759,,,4
TwoSampleSurvival,15,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,9900,12,0,0,0.740,,,4
TwoSampleSurvival,16,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,9900,12,0,0,0.720,,,4
TwoSampleSurvival,17,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,9900,12,0,0,0.700,,,4
TwoSampleSurvival,18,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,9900,12,0,0,0.680,,,4
