Analysis,Index,Sides,AccrualTime,FollowUpTime,Alpha,RefSurvival,SurvCurve1Form,SurvCurve2Form,HazardRatio,Weight1,Weight2,NominalPower,NSubInterval,LossExpHazard1,LossExpHazard2,Power,NTotal,Error,Info,hazard_rate
TwoSampleSurvival,1,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,14562,,,4
TwoSampleSurvival,2,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,15206,,,4
TwoSampleSurvival,3,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,15892,,,4
TwoSampleSurvival,4,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,16624,,,4
TwoSampleSurvival,5,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,17406,,,4
TwoSampleSurvival,6,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,18240,,,4
TwoSampleSurvival,7,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,19134,,,4
TwoSampleSurvival,8,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,20092,,,4
TwoSampleSurvival,9,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,21120,,,4
TwoSampleSurvival,10,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,22228,,,4
TwoSampleSurvival,11,2,18,3,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,23420,,,4
TwoSampleSurvival,12,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,13446,,,4
TwoSampleSurvival,13,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,14040,,,4
TwoSampleSurvival,14,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,14674,,,4
TwoSampleSurvival,15,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,15350,,,4
TwoSampleSurvival,16,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,16072,,,4
TwoSampleSurvival,17,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,16844,,,4
TwoSampleSurvival,18,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,17668,,,4
TwoSampleSurvival,19,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,18554,,,4
TwoSampleSurvival,20,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,19504,,,4
TwoSampleSurvival,21,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,20524,,,4
TwoSampleSurvival,22,2,18,4,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,21626,,,4
TwoSampleSurvival,23,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,12488,,,4
TwoSampleSurvival,24,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,13042,,,4
TwoSampleSurvival,25,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,13630,,,4
TwoSampleSurvival,26,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,14258,,,4
TwoSampleSurvival,27,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,14928,,,4
TwoSampleSurvival,28,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,15644,,,4
TwoSampleSurvival,29,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,16410,,,4
TwoSampleSurvival,30,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,17232,,,4
TwoSampleSurvival,31,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,18116,,,4
TwoSampleSurvival,32,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,19064,,,4
TwoSampleSurvival,33,2,18,5,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,20086,,,4
TwoSampleSurvival,34,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,11658,,,4
TwoSampleSurvival,35,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,12174,,,4
TwoSampleSurvival,36,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,12724,,,4
TwoSampleSurvival,37,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,13310,,,4
TwoSampleSurvival,38,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,13936,,,4
TwoSampleSurvival,39,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,14604,,,4
TwoSampleSurvival,40,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,15320,,,4
TwoSampleSurvival,41,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,16088,,,4
TwoSampleSurvival,42,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,16912,,,4
TwoSampleSurvival,43,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,17798,,,4
TwoSampleSurvival,44,2,18,6,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.800,1,1,0.9,12,0,0,0.900,18752,,,4
TwoSampleSurvival,45,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.750,1,1,0.9,12,0,0,0.900,10930,,,4
TwoSampleSurvival,46,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.755,1,1,0.9,12,0,0,0.900,11414,,,4
TwoSampleSurvival,47,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.760,1,1,0.9,12,0,0,0.900,11930,,,4
TwoSampleSurvival,48,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.765,1,1,0.9,12,0,0,0.900,12480,,,4
TwoSampleSurvival,49,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.770,1,1,0.9,12,0,0,0.900,13066,,,4
TwoSampleSurvival,50,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.775,1,1,0.9,12,0,0,0.900,13694,,,4
TwoSampleSurvival,51,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.780,1,1,0.9,12,0,0,0.900,14364,,,4
TwoSampleSurvival,52,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.785,1,1,0.9,12,0,0,0.900,15084,,,4
TwoSampleSurvival,53,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.790,1,1,0.9,12,0,0,0.900,15856,,,4
TwoSampleSurvival,54,2,18,7,0.05,Treatment,Piecewise Linear,Proportional Hazards,0.795,1,1,0.9,12,0,0,0.900,16688,,,4
